,Credit Amount,Duration of Credit (month),Age (years),Account Balance,Occupation,Length of current employment,Payment Status of Previous Credit,Sex,Creditability
533,1000-2999,1-2 years,Older than 30,No Account,Highly Skilled,More than 4 years,Delays,Male,Credible
534,1000-2999,1-2 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Credible
535,1000-2999,2-3 years,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
536,3000-6999,Less than a year,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
537,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
538,Less than 1000,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
539,3000-6999,1-2 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Credible
540,1000-2999,Less than a year,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
541,3000-6999,More than 3 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
542,1000-2999,1-2 years,Older than 30,None,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
543,1000-2999,1-2 years,Younger than 30,None,Skilled,Less than a year,Delays,Female,Credible
544,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
545,Less than 1000,Less than a year,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Credible
546,1000-2999,2-3 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Credible
547,1000-2999,Less than a year,Younger than 30,Below 200DM,Skilled,More than 4 years,Delays,Male,Credible
548,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
549,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
550,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
551,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
552,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
553,Less than 1000,Less than a year,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
554,1000-2999,Less than a year,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Credible
555,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
556,More than 7000,More than 3 years,Older than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Credible
557,1000-2999,1-2 years,Older than 30,Below 200DM,Highly Skilled,Less than a year,NA/Not Delayed,Female,Credible
558,3000-6999,2-3 years,Younger than 30,200DM or above,Highly Skilled,Unemployed,NA/Not Delayed,Female,Credible
559,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
560,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,Less than a year,Delays,Male,Credible
561,3000-6999,1-2 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
562,More than 7000,More than 3 years,Younger than 30,None,Highly Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
563,1000-2999,2-3 years,Older than 30,Below 200DM,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
564,3000-6999,2-3 years,Younger than 30,200DM or above,Unskilled,1-3 years,Delays,Male,Credible
565,1000-2999,2-3 years,Younger than 30,None,Skilled,More than 4 years,Delays,Female,Credible
566,More than 7000,More than 3 years,Older than 30,None,Unskilled,More than 4 years,Delays,Male,Credible
567,Less than 1000,Less than a year,Older than 30,200DM or above,Unskilled,1-3 years,Delays,Female,Credible
568,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
569,More than 7000,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
570,1000-2999,1-2 years,Younger than 30,Below 200DM,Skilled,Less than a year,NA/Not Delayed,Male,Credible
571,More than 7000,More than 3 years,Older than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
572,More than 7000,2-3 years,Older than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Credible
573,3000-6999,2-3 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
574,3000-6999,More than 3 years,Older than 30,None,Highly Skilled,1-3 years,NA/Not Delayed,Male,Credible
575,More than 7000,More than 3 years,Older than 30,None,Highly Skilled,1-3 years,NA/Not Delayed,Male,Credible
576,3000-6999,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
577,Less than 1000,1-2 years,Older than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
578,3000-6999,2-3 years,Younger than 30,No Account,Skilled,1-3 years,Delays,Female,Not Credible
579,More than 7000,More than 3 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
580,1000-2999,2-3 years,Younger than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Male,Not Credible
581,1000-2999,2-3 years,Older than 30,No Account,Skilled,Unemployed,NA/Not Delayed,Male,Not Credible
582,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
583,Less than 1000,1-2 years,Younger than 30,No Account,Skilled,Unemployed,NA/Not Delayed,Female,Not Credible
584,More than 7000,1-2 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
585,1000-2999,2-3 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
586,3000-6999,1-2 years,Older than 30,No Account,Highly Skilled,More than 4 years,Delays,Male,Credible
587,3000-6999,More than 3 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
588,3000-6999,1-2 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
589,3000-6999,1-2 years,Older than 30,None,Highly Skilled,Less than a year,NA/Not Delayed,Female,Credible
590,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
591,1000-2999,Less than a year,Older than 30,No Account,Highly Skilled,More than 4 years,Delays,Male,Credible
592,3000-6999,More than 3 years,Younger than 30,No Account,Unskilled,Less than a year,Delays,Female,Not Credible
593,1000-2999,2-3 years,Younger than 30,No Account,Unskilled,Unemployed,NA/Not Delayed,Female,Not Credible
594,3000-6999,2-3 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
595,3000-6999,More than 3 years,Younger than 30,No Account,Skilled,1-3 years,Delays,Male,Credible
596,Less than 1000,1-2 years,Older than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
597,Less than 1000,1-2 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
598,1000-2999,2-3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
599,3000-6999,More than 3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
600,More than 7000,More than 3 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
601,1000-2999,2-3 years,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
602,1000-2999,Less than a year,Older than 30,No Account,Highly Skilled,Unemployed,NA/Not Delayed,Female,Credible
603,1000-2999,1-2 years,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
604,1000-2999,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
605,Less than 1000,1-2 years,Younger than 30,No Account,Skilled,1-3 years,Delays,Male,Credible
606,1000-2999,Less than a year,Older than 30,None,Highly Skilled,Unemployed,Delays,Male,Credible
607,Less than 1000,Less than a year,Older than 30,No Account,Skilled,More than 4 years,Delays,Female,Credible
608,3000-6999,More than 3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
609,3000-6999,2-3 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
610,Less than 1000,1-2 years,Younger than 30,None,Unskilled,Less than a year,NA/Not Delayed,Female,Not Credible
611,1000-2999,1-2 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
612,1000-2999,1-2 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Credible
613,1000-2999,1-2 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Credible
614,3000-6999,2-3 years,Younger than 30,No Account,Highly Skilled,Unemployed,NA/Not Delayed,Male,Credible
615,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Credible
616,More than 7000,2-3 years,Older than 30,No Account,Highly Skilled,More than 4 years,Delays,Male,Credible
617,1000-2999,1-2 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
618,3000-6999,2-3 years,Older than 30,No Account,Unskilled,Less than a year,NA/Not Delayed,Male,Not Credible
619,Less than 1000,1-2 years,Older than 30,None,Unskilled,More than 4 years,Delays,Male,Credible
620,More than 7000,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
621,3000-6999,2-3 years,Younger than 30,200DM or above,Highly Skilled,Unemployed,Delays,Male,Credible
622,1000-2999,1-2 years,Older than 30,No Account,Highly Skilled,More than 4 years,Delays,Male,Credible
623,3000-6999,1-2 years,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
624,3000-6999,2-3 years,Older than 30,No Account,Highly Skilled,Unemployed,Delays,Male,Credible
625,1000-2999,Less than a year,Older than 30,No Account,Highly Skilled,Unemployed,Delays,Male,Credible
626,1000-2999,1-2 years,Older than 30,200DM or above,Highly Skilled,Unemployed,NA/Not Delayed,Male,Credible
627,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
628,1000-2999,Less than a year,Older than 30,200DM or above,Highly Skilled,Unemployed,NA/Not Delayed,Male,Credible
629,1000-2999,1-2 years,Older than 30,No Account,Highly Skilled,Unemployed,NA/Not Delayed,Female,Credible
630,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,Delays,Female,Credible
631,More than 7000,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
632,3000-6999,2-3 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
633,3000-6999,More than 3 years,Older than 30,No Account,Highly Skilled,Unemployed,NA/Not Delayed,Male,Credible
634,3000-6999,More than 3 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
635,3000-6999,2-3 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Male,Credible
636,1000-2999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Not Credible
637,1000-2999,1-2 years,Younger than 30,No Account,Unskilled,Less than a year,Delays,Male,Credible
638,3000-6999,1-2 years,Younger than 30,No Account,Skilled,More than 4 years,Delays,Female,Credible
639,1000-2999,2-3 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
640,1000-2999,More than 3 years,Older than 30,No Account,Skilled,1-3 years,Delays,Male,Credible
641,3000-6999,More than 3 years,Older than 30,Below 200DM,Skilled,Less than a year,NA/Not Delayed,Male,Credible
642,3000-6999,2-3 years,Older than 30,No Account,Highly Skilled,More than 4 years,Delays,Female,Credible
643,3000-6999,More than 3 years,Older than 30,No Account,Unskilled,More than 4 years,Delays,Female,Not Credible
644,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
645,More than 7000,More than 3 years,Older than 30,No Account,Highly Skilled,Unemployed,NA/Not Delayed,Male,Credible
646,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
647,More than 7000,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
648,1000-2999,2-3 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
649,1000-2999,1-2 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
650,3000-6999,2-3 years,Older than 30,None,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
651,Less than 1000,Less than a year,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
652,Less than 1000,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
653,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
654,3000-6999,More than 3 years,Older than 30,None,Skilled,1-3 years,Delays,Male,Credible
655,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
656,1000-2999,2-3 years,Older than 30,None,Skilled,Less than a year,Delays,Male,Not Credible
657,Less than 1000,Less than a year,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Credible
658,1000-2999,Less than a year,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
659,Less than 1000,Less than a year,Younger than 30,None,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
660,1000-2999,Less than a year,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
661,1000-2999,1-2 years,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
662,Less than 1000,1-2 years,Younger than 30,None,Skilled,1-3 years,Delays,Male,Credible
663,1000-2999,Less than a year,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
664,Less than 1000,Less than a year,Older than 30,No Account,Unskilled,More than 4 years,Delays,Male,Credible
665,1000-2999,1-2 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Credible
666,1000-2999,Less than a year,Older than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Credible
667,Less than 1000,1-2 years,Younger than 30,None,Skilled,Less than a year,Delays,Male,Credible
668,Less than 1000,1-2 years,Younger than 30,None,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
669,1000-2999,Less than a year,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
670,1000-2999,1-2 years,Younger than 30,None,Unskilled,Less than a year,NA/Not Delayed,Female,Credible
671,1000-2999,1-2 years,Older than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
672,1000-2999,1-2 years,Younger than 30,None,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
673,Less than 1000,Less than a year,Older than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Female,Credible
674,Less than 1000,1-2 years,Younger than 30,None,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
675,1000-2999,Less than a year,Younger than 30,Below 200DM,Skilled,More than 4 years,Delays,Male,Credible
676,1000-2999,Less than a year,Younger than 30,No Account,Unskilled,1-3 years,Delays,Male,Credible
677,1000-2999,1-2 years,Older than 30,None,Unskilled,More than 4 years,Delays,Female,Credible
678,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
679,Less than 1000,Less than a year,Younger than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
680,1000-2999,Less than a year,Younger than 30,None,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
681,1000-2999,1-2 years,Older than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
682,More than 7000,1-2 years,Older than 30,None,Highly Skilled,More than 4 years,Delays,Male,Credible
683,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
684,1000-2999,1-2 years,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
685,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
686,1000-2999,Less than a year,Older than 30,None,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
687,3000-6999,More than 3 years,Younger than 30,None,Unskilled,Less than a year,NA/Not Delayed,Female,Credible
688,3000-6999,1-2 years,Older than 30,Below 200DM,Unskilled,Less than a year,NA/Not Delayed,Female,Credible
689,1000-2999,2-3 years,Older than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Female,Not Credible
690,More than 7000,More than 3 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
691,1000-2999,1-2 years,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
692,Less than 1000,Less than a year,Younger than 30,None,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
693,3000-6999,1-2 years,Older than 30,200DM or above,Unskilled,Less than a year,Delays,Female,Credible
694,1000-2999,1-2 years,Younger than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
695,More than 7000,More than 3 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
696,1000-2999,1-2 years,Older than 30,Below 200DM,Skilled,1-3 years,Delays,Female,Credible
697,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
698,3000-6999,More than 3 years,Younger than 30,None,Skilled,Unemployed,Delays,Male,Credible
699,1000-2999,2-3 years,Older than 30,No Account,Highly Skilled,More than 4 years,Delays,Female,Credible
700,More than 7000,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
701,3000-6999,More than 3 years,Older than 30,None,Skilled,1-3 years,Delays,Male,Credible
702,More than 7000,1-2 years,Younger than 30,No Account,Skilled,1-3 years,Delays,Female,Credible
703,3000-6999,2-3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
704,1000-2999,Less than a year,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
705,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
706,3000-6999,2-3 years,Younger than 30,Below 200DM,Skilled,More than 4 years,Delays,Male,Credible
707,1000-2999,2-3 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
708,More than 7000,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
709,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
710,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
711,3000-6999,More than 3 years,Older than 30,No Account,Unskilled,Unemployed,Delays,Male,Credible
712,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
713,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Female,Credible
714,3000-6999,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
715,1000-2999,More than 3 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
716,More than 7000,More than 3 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
717,3000-6999,2-3 years,Older than 30,200DM or above,Highly Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
718,1000-2999,1-2 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
719,3000-6999,More than 3 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
720,3000-6999,More than 3 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Not Credible
721,1000-2999,1-2 years,Older than 30,Below 200DM,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
722,1000-2999,1-2 years,Younger than 30,200DM or above,Unskilled,1-3 years,Delays,Male,Credible
723,More than 7000,More than 3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
724,3000-6999,2-3 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
725,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
726,1000-2999,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Credible
727,1000-2999,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
728,More than 7000,More than 3 years,Older than 30,200DM or above,Highly Skilled,1-3 years,Delays,Male,Credible
729,More than 7000,More than 3 years,Younger than 30,None,Highly Skilled,1-3 years,Delays,Male,Credible
730,More than 7000,More than 3 years,Older than 30,None,Highly Skilled,Unemployed,NA/Not Delayed,Male,Credible
731,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
732,3000-6999,1-2 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
733,1000-2999,1-2 years,Younger than 30,No Account,Skilled,Unemployed,NA/Not Delayed,Female,Credible
734,3000-6999,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
735,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
736,1000-2999,Less than a year,Older than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
737,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
738,1000-2999,1-2 years,Older than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
739,3000-6999,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
740,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Female,Credible
741,3000-6999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
742,1000-2999,2-3 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
743,More than 7000,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
744,3000-6999,2-3 years,Younger than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Female,Credible
745,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
746,1000-2999,2-3 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
747,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
748,1000-2999,Less than a year,Older than 30,None,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Credible
749,1000-2999,2-3 years,Older than 30,Below 200DM,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
750,1000-2999,More than 3 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
751,Less than 1000,Less than a year,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
752,1000-2999,Less than a year,Older than 30,None,Skilled,More than 4 years,Delays,Male,Not Credible
753,3000-6999,2-3 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
754,More than 7000,Less than a year,Younger than 30,None,Unskilled,Unemployed,NA/Not Delayed,Male,Not Credible
755,Less than 1000,1-2 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
756,1000-2999,2-3 years,Older than 30,No Account,Unskilled,More than 4 years,Delays,Male,Not Credible
757,1000-2999,1-2 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
758,1000-2999,2-3 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
759,1000-2999,More than 3 years,Younger than 30,None,Skilled,Less than a year,Delays,Male,Not Credible
760,3000-6999,More than 3 years,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
761,1000-2999,1-2 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
762,3000-6999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
763,3000-6999,More than 3 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
764,1000-2999,2-3 years,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Not Credible
765,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
766,3000-6999,More than 3 years,Younger than 30,None,Skilled,More than 4 years,Delays,Male,Not Credible
767,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Not Credible
768,1000-2999,Less than a year,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
769,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
770,1000-2999,2-3 years,Older than 30,No Account,Highly Skilled,Unemployed,NA/Not Delayed,Male,Not Credible
771,1000-2999,Less than a year,Younger than 30,No Account,Highly Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
772,1000-2999,1-2 years,Older than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
773,More than 7000,More than 3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
774,1000-2999,More than 3 years,Younger than 30,No Account,Skilled,More than 4 years,Delays,Male,Not Credible
775,1000-2999,More than 3 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
776,3000-6999,1-2 years,Older than 30,None,Highly Skilled,More than 4 years,Delays,Male,Not Credible
777,3000-6999,Less than a year,Older than 30,No Account,Highly Skilled,1-3 years,Delays,Male,Not Credible
778,1000-2999,1-2 years,Older than 30,None,Skilled,1-3 years,Delays,Male,Not Credible
779,3000-6999,1-2 years,Older than 30,200DM or above,Highly Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
780,More than 7000,2-3 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Not Credible
781,1000-2999,2-3 years,Older than 30,No Account,Skilled,Less than a year,Delays,Male,Not Credible
782,More than 7000,More than 3 years,Older than 30,None,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
783,Less than 1000,Less than a year,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
784,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
785,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
786,Less than 1000,Less than a year,Older than 30,None,Unskilled,Less than a year,NA/Not Delayed,Female,Not Credible
787,1000-2999,1-2 years,Older than 30,None,Skilled,1-3 years,Delays,Male,Not Credible
788,3000-6999,2-3 years,Older than 30,None,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
789,3000-6999,2-3 years,Younger than 30,None,Unskilled,Less than a year,Delays,Female,Not Credible
790,1000-2999,1-2 years,Younger than 30,None,Unskilled,Less than a year,NA/Not Delayed,Female,Not Credible
791,1000-2999,1-2 years,Younger than 30,Below 200DM,Unskilled,Less than a year,NA/Not Delayed,Female,Not Credible
792,3000-6999,2-3 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
793,Less than 1000,1-2 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
794,1000-2999,2-3 years,Older than 30,Below 200DM,Highly Skilled,More than 4 years,Delays,Male,Not Credible
795,1000-2999,More than 3 years,Older than 30,None,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
796,1000-2999,1-2 years,Older than 30,Below 200DM,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
797,1000-2999,1-2 years,Older than 30,Below 200DM,Skilled,Less than a year,Delays,Male,Not Credible
798,Less than 1000,2-3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
