,gender,disability,age_band,SES,highest_education,studied_credits,code_module,final_result
20571,M,Y,35-55,low,Lower Than A Level,More than 65,EEE,Pass
20572,M,N,0-35,low,Lower Than A Level,60-65,EEE,Fail
20573,M,Y,0-35,low,A Level or Equivalent,More than 65,EEE,Pass
20574,M,N,0-35,low,Lower Than A Level,0-59,EEE,Fail
20575,M,N,0-35,low,Lower Than A Level,More than 65,EEE,Pass
20578,M,N,35-55,high,A Level or Equivalent,0-59,EEE,Fail
20579,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20580,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20581,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Fail
20582,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
20583,M,N,35-55,low,Lower Than A Level,0-59,EEE,Pass
20584,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20585,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
20586,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20587,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20588,M,Y,35-55,high,A Level or Equivalent,60-65,EEE,Fail
20590,M,N,0-35,high,Lower Than A Level,0-59,EEE,Fail
20592,M,N,35-55,high,Lower Than A Level,More than 65,EEE,Fail
20593,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
20595,M,N,0-35,low,Lower Than A Level,More than 65,EEE,Fail
20596,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20597,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20599,M,N,0-35,low,Lower Than A Level,60-65,EEE,Fail
20600,M,N,0-35,low,HE Qualification,0-59,EEE,Pass
20604,M,N,0-35,high,Lower Than A Level,More than 65,EEE,Pass
20606,M,N,35-55,high,Post Graduate Qualification,60-65,EEE,Fail
20608,F,N,0-35,low,HE Qualification,More than 65,EEE,Fail
20609,M,N,0-35,low,Lower Than A Level,0-59,EEE,Pass
20610,M,N,0-35,low,Lower Than A Level,60-65,EEE,Fail
20611,M,N,35-55,high,A Level or Equivalent,60-65,EEE,Fail
20613,M,N,35-55,high,Post Graduate Qualification,60-65,EEE,Pass
20614,M,N,35-55,low,HE Qualification,60-65,EEE,Pass
20615,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20616,M,N,35-55,high,HE Qualification,60-65,EEE,Pass
20617,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
20620,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Fail
20621,M,N,0-35,high,HE Qualification,More than 65,EEE,Fail
20622,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20623,M,N,0-35,low,Lower Than A Level,More than 65,EEE,Fail
20625,F,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20627,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
20628,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20632,M,N,0-35,low,A Level or Equivalent,More than 65,EEE,Pass
20633,M,N,0-35,low,Lower Than A Level,More than 65,EEE,Fail
20635,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20637,M,N,35-55,high,HE Qualification,0-59,EEE,Pass
20638,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20639,F,Y,0-35,low,Lower Than A Level,More than 65,EEE,Fail
20640,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20641,M,N,0-35,low,HE Qualification,60-65,EEE,Pass
20642,F,Y,0-35,high,HE Qualification,60-65,EEE,Pass
20643,M,N,35-55,high,Lower Than A Level,60-65,EEE,Pass
20644,M,N,0-35,high,Lower Than A Level,0-59,EEE,Pass
20645,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20646,M,N,0-35,low,Lower Than A Level,More than 65,EEE,Fail
20647,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
20648,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20650,F,N,0-35,high,A Level or Equivalent,60-65,EEE,Fail
20652,M,N,35-55,low,Lower Than A Level,More than 65,EEE,Pass
20653,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20654,M,N,35-55,low,A Level or Equivalent,More than 65,EEE,Pass
20655,M,N,35-55,high,Lower Than A Level,60-65,EEE,Pass
20657,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20658,M,N,0-35,high,Lower Than A Level,More than 65,EEE,Fail
20659,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20660,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20661,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20662,M,N,35-55,low,A Level or Equivalent,60-65,EEE,Pass
20663,M,N,35-55,high,A Level or Equivalent,More than 65,EEE,Pass
20664,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20666,M,N,0-35,low,HE Qualification,60-65,EEE,Pass
20668,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20669,M,N,35-55,low,Lower Than A Level,0-59,EEE,Pass
20671,M,Y,0-35,high,Lower Than A Level,More than 65,EEE,Pass
20673,M,N,35-55,high,A Level or Equivalent,60-65,EEE,Pass
20675,M,N,35-55,low,Lower Than A Level,60-65,EEE,Pass
20676,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20677,F,N,0-35,low,Lower Than A Level,More than 65,EEE,Pass
20678,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
20679,M,N,0-35,low,HE Qualification,60-65,EEE,Pass
20681,M,Y,0-35,low,Lower Than A Level,60-65,EEE,Pass
20682,M,Y,0-35,high,Lower Than A Level,60-65,EEE,Fail
20683,M,N,0-35,low,HE Qualification,60-65,EEE,Pass
20684,M,N,35-55,high,Post Graduate Qualification,60-65,EEE,Pass
20686,M,N,0-35,low,Lower Than A Level,More than 65,EEE,Fail
20687,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20688,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20689,M,N,0-35,high,Lower Than A Level,More than 65,EEE,Pass
20690,F,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20691,M,N,0-35,low,HE Qualification,0-59,EEE,Pass
20692,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Fail
20693,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20694,F,N,35-55,high,HE Qualification,60-65,EEE,Pass
20695,F,N,0-35,low,Lower Than A Level,More than 65,EEE,Pass
20697,M,N,0-35,low,A Level or Equivalent,More than 65,EEE,Pass
20698,M,Y,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20699,M,N,35-55,low,Lower Than A Level,More than 65,EEE,Pass
20701,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20702,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20703,M,N,0-35,low,A Level or Equivalent,More than 65,EEE,Pass
20704,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20705,M,N,35-55,low,Lower Than A Level,More than 65,EEE,Fail
20706,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20707,M,N,0-35,high,HE Qualification,60-65,EEE,Fail
20709,M,N,0-35,high,HE Qualification,0-59,EEE,Pass
20710,M,N,35-55,high,HE Qualification,60-65,EEE,Pass
20711,M,N,0-35,low,Lower Than A Level,More than 65,EEE,Fail
20712,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20714,M,N,35-55,high,HE Qualification,0-59,EEE,Pass
20715,M,N,35-55,high,Lower Than A Level,0-59,EEE,Pass
20716,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Fail
20719,M,N,0-35,high,Lower Than A Level,More than 65,EEE,Pass
20721,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20724,M,N,35-55,high,A Level or Equivalent,0-59,EEE,Pass
20725,M,N,35-55,low,A Level or Equivalent,60-65,EEE,Pass
20727,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
20728,M,N,35-55,high,A Level or Equivalent,0-59,EEE,Pass
20730,M,N,0-35,low,A Level or Equivalent,More than 65,EEE,Fail
20732,M,N,0-35,low,Lower Than A Level,0-59,EEE,Fail
20734,F,N,0-35,high,HE Qualification,60-65,EEE,Pass
20737,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20738,M,N,0-35,low,HE Qualification,60-65,EEE,Fail
20740,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20741,M,N,0-35,high,HE Qualification,More than 65,EEE,Pass
20743,M,Y,35-55,low,Lower Than A Level,0-59,EEE,Pass
20744,M,N,0-35,low,Lower Than A Level,60-65,EEE,Fail
20747,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20748,M,N,35-55,high,Lower Than A Level,60-65,EEE,Pass
20750,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Fail
20751,M,N,0-35,low,Lower Than A Level,60-65,EEE,Fail
20753,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20755,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20756,M,N,35-55,high,Lower Than A Level,60-65,EEE,Fail
20757,M,N,35-55,high,A Level or Equivalent,0-59,EEE,Pass
20758,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20759,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
20760,M,N,0-35,low,HE Qualification,60-65,EEE,Fail
20761,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Fail
20762,F,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20764,M,N,35-55,low,HE Qualification,60-65,EEE,Pass
20766,M,N,35-55,low,Lower Than A Level,60-65,EEE,Pass
20767,M,N,0-35,high,HE Qualification,60-65,EEE,Fail
20768,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20770,M,N,35-55,high,HE Qualification,More than 65,EEE,Pass
20771,M,N,35-55,low,A Level or Equivalent,0-59,EEE,Pass
20772,M,N,0-35,high,HE Qualification,0-59,EEE,Pass
20774,M,N,35-55,low,Lower Than A Level,0-59,EEE,Fail
20775,M,Y,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20776,M,N,0-35,low,Lower Than A Level,0-59,EEE,Fail
20777,M,N,35-55,low,Lower Than A Level,60-65,EEE,Pass
20779,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20781,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Fail
20782,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20783,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Fail
20785,F,N,0-35,low,Lower Than A Level,60-65,EEE,Fail
20788,F,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20789,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20790,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Fail
20791,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20792,M,N,0-35,high,HE Qualification,More than 65,EEE,Pass
20794,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
20796,M,N,35-55,low,A Level or Equivalent,60-65,EEE,Pass
20797,F,Y,0-35,low,A Level or Equivalent,More than 65,EEE,Pass
20798,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20802,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20803,F,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20804,M,N,0-35,high,Lower Than A Level,0-59,EEE,Pass
20806,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20809,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20810,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20812,M,N,0-35,low,Lower Than A Level,0-59,EEE,Pass
20813,F,N,0-35,low,Lower Than A Level,0-59,EEE,Pass
20814,M,Y,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20815,M,N,35-55,low,A Level or Equivalent,60-65,EEE,Fail
20816,M,N,0-35,low,A Level or Equivalent,More than 65,EEE,Pass
20818,M,N,0-35,high,Lower Than A Level,0-59,EEE,Fail
20820,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20822,M,Y,0-35,high,Lower Than A Level,0-59,EEE,Pass
20823,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Fail
20824,M,N,0-35,low,Lower Than A Level,60-65,EEE,Fail
20827,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
20828,M,N,35-55,low,Lower Than A Level,0-59,EEE,Pass
20830,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20832,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20833,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20834,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Fail
20835,M,N,35-55,low,Lower Than A Level,0-59,EEE,Fail
20837,M,Y,35-55,high,Lower Than A Level,60-65,EEE,Pass
20839,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20840,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20841,M,Y,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20842,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20843,M,N,0-35,high,Lower Than A Level,0-59,EEE,Pass
20844,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20845,M,N,0-35,high,Lower Than A Level,0-59,EEE,Fail
20847,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Fail
20848,F,N,0-35,high,A Level or Equivalent,60-65,EEE,Fail
20849,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20850,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20851,M,Y,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20852,M,N,35-55,high,Lower Than A Level,60-65,EEE,Fail
20853,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20854,M,N,35-55,low,A Level or Equivalent,More than 65,EEE,Fail
20855,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20856,F,N,35-55,low,Lower Than A Level,60-65,EEE,Pass
20857,F,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20858,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
20861,M,N,0-35,high,Lower Than A Level,0-59,EEE,Fail
20863,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20866,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20867,M,N,35-55,high,Lower Than A Level,0-59,EEE,Pass
20868,F,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20869,M,N,0-35,high,HE Qualification,0-59,EEE,Pass
20871,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20872,F,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20874,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20875,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20876,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20877,M,N,0-35,low,Lower Than A Level,0-59,EEE,Pass
20878,M,N,0-35,low,HE Qualification,60-65,EEE,Pass
20881,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20882,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
20883,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20887,M,N,35-55,low,HE Qualification,More than 65,EEE,Pass
20888,M,Y,0-35,high,A Level or Equivalent,60-65,EEE,Fail
20890,F,N,0-35,low,HE Qualification,More than 65,EEE,Fail
20891,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20892,M,N,0-35,high,Lower Than A Level,More than 65,EEE,Pass
20893,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20895,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Fail
20896,M,N,35-55,high,Lower Than A Level,60-65,EEE,Fail
20897,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20898,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20899,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20900,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20901,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20902,M,Y,35-55,low,A Level or Equivalent,0-59,EEE,Pass
20903,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20905,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20906,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20910,M,N,0-35,high,Lower Than A Level,0-59,EEE,Fail
20911,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
20913,F,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20914,M,N,0-35,low,HE Qualification,0-59,EEE,Pass
20916,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Fail
20917,F,N,0-35,high,Lower Than A Level,0-59,EEE,Pass
20919,M,N,35-55,high,Lower Than A Level,60-65,EEE,Pass
20920,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20921,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20922,F,N,0-35,low,HE Qualification,60-65,EEE,Pass
20923,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20924,M,N,0-35,low,Lower Than A Level,0-59,EEE,Fail
20927,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
20932,M,Y,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
20933,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20934,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20935,M,N,35-55,low,HE Qualification,0-59,EEE,Fail
20937,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20939,M,N,0-35,low,HE Qualification,60-65,EEE,Fail
20940,M,N,35-55,high,A Level or Equivalent,60-65,EEE,Fail
20941,M,N,0-35,low,HE Qualification,0-59,EEE,Pass
20944,F,N,35-55,low,HE Qualification,60-65,EEE,Fail
20946,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Fail
20947,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
20948,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
20952,F,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20953,M,N,35-55,high,A Level or Equivalent,0-59,EEE,Pass
20957,M,Y,35-55,low,Lower Than A Level,60-65,EEE,Fail
20958,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
20959,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
20961,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20963,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20967,M,N,0-35,low,Lower Than A Level,More than 65,EEE,Fail
20968,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20969,M,N,35-55,low,A Level or Equivalent,60-65,EEE,Pass
20970,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
20971,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20972,M,N,0-35,high,Lower Than A Level,0-59,EEE,Pass
20973,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
20974,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20975,M,N,35-55,high,A Level or Equivalent,0-59,EEE,Pass
20977,M,N,0-35,low,Lower Than A Level,0-59,EEE,Pass
20979,M,N,0-35,low,HE Qualification,0-59,EEE,Pass
20981,M,Y,0-35,low,A Level or Equivalent,60-65,EEE,Pass
20982,M,N,0-35,high,HE Qualification,0-59,EEE,Pass
20983,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20984,M,N,35-55,high,Lower Than A Level,0-59,EEE,Pass
20985,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
20988,M,N,35-55,high,HE Qualification,0-59,EEE,Pass
20989,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20990,M,N,35-55,high,A Level or Equivalent,0-59,EEE,Pass
20991,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20997,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
20998,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
20999,F,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
21000,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
21002,M,N,0-35,low,Lower Than A Level,0-59,EEE,Fail
21003,M,N,0-35,high,Lower Than A Level,0-59,EEE,Pass
21005,M,N,0-35,low,HE Qualification,60-65,EEE,Pass
21006,M,Y,0-35,high,A Level or Equivalent,0-59,EEE,Pass
21007,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
21008,M,N,0-35,high,Lower Than A Level,0-59,EEE,Fail
21009,M,N,0-35,low,No Formal quals,60-65,EEE,Pass
21010,M,N,0-35,low,Lower Than A Level,0-59,EEE,Pass
21011,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
21012,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Fail
21013,M,N,35-55,low,Lower Than A Level,60-65,EEE,Fail
21014,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
21015,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Fail
21016,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
21017,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
21019,M,N,0-35,low,Lower Than A Level,0-59,EEE,Pass
21020,F,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
21021,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
21022,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
21023,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
21024,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
21025,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
21027,F,N,55<=,high,HE Qualification,60-65,EEE,Pass
21028,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
21030,M,N,0-35,low,Lower Than A Level,0-59,EEE,Pass
21031,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
21032,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
21033,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
21034,M,N,0-35,high,Lower Than A Level,0-59,EEE,Pass
21035,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
21036,M,N,35-55,high,HE Qualification,60-65,EEE,Pass
21038,M,N,0-35,low,Lower Than A Level,0-59,EEE,Pass
21039,M,N,0-35,low,Lower Than A Level,More than 65,EEE,Fail
21041,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
21042,F,N,0-35,low,A Level or Equivalent,60-65,EEE,Fail
21043,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
21044,M,N,35-55,high,A Level or Equivalent,60-65,EEE,Pass
21045,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
21046,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
21047,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
21048,M,N,35-55,low,A Level or Equivalent,60-65,EEE,Pass
21049,M,N,55<=,high,HE Qualification,60-65,EEE,Pass
21050,M,N,35-55,low,HE Qualification,60-65,EEE,Pass
21051,M,N,35-55,low,Lower Than A Level,More than 65,EEE,Pass
21052,M,N,35-55,high,A Level or Equivalent,60-65,EEE,Pass
21053,M,N,35-55,low,Lower Than A Level,0-59,EEE,Pass
21054,F,N,35-55,high,A Level or Equivalent,0-59,EEE,Pass
21056,M,N,35-55,low,Lower Than A Level,0-59,EEE,Pass
21057,M,N,35-55,high,HE Qualification,0-59,EEE,Fail
21061,M,N,35-55,low,HE Qualification,0-59,EEE,Pass
21062,M,N,35-55,high,A Level or Equivalent,60-65,EEE,Pass
21063,M,Y,35-55,high,A Level or Equivalent,60-65,EEE,Fail
21064,F,N,35-55,high,HE Qualification,60-65,EEE,Pass
21065,M,N,35-55,high,HE Qualification,0-59,EEE,Pass
21066,M,N,35-55,low,A Level or Equivalent,60-65,EEE,Fail
21067,M,N,35-55,high,HE Qualification,More than 65,EEE,Pass
21068,M,N,35-55,high,Lower Than A Level,More than 65,EEE,Pass
21071,M,N,35-55,high,A Level or Equivalent,60-65,EEE,Fail
21072,M,N,35-55,low,HE Qualification,60-65,EEE,Fail
21073,F,N,35-55,high,HE Qualification,0-59,EEE,Pass
21075,M,N,35-55,low,Lower Than A Level,60-65,EEE,Pass
21076,M,N,35-55,high,A Level or Equivalent,More than 65,EEE,Pass
21077,M,N,35-55,high,A Level or Equivalent,60-65,EEE,Pass
21079,M,N,35-55,high,HE Qualification,More than 65,EEE,Pass
21080,M,N,35-55,high,Lower Than A Level,0-59,EEE,Pass
21083,F,N,35-55,high,Post Graduate Qualification,0-59,EEE,Fail
21084,M,N,35-55,high,Lower Than A Level,0-59,EEE,Pass
21085,M,N,0-35,high,Lower Than A Level,0-59,EEE,Pass
21088,M,N,0-35,high,HE Qualification,60-65,EEE,Pass
21089,M,N,35-55,low,A Level or Equivalent,More than 65,EEE,Pass
21090,M,N,0-35,high,HE Qualification,More than 65,EEE,Pass
21091,M,N,35-55,high,A Level or Equivalent,0-59,EEE,Fail
21092,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
21093,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
21096,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
21098,M,N,35-55,high,Lower Than A Level,0-59,EEE,Pass
21099,F,N,0-35,low,HE Qualification,0-59,EEE,Pass
21100,F,N,0-35,high,A Level or Equivalent,More than 65,EEE,Pass
21101,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
21102,M,N,35-55,high,HE Qualification,0-59,EEE,Fail
21104,M,N,35-55,low,A Level or Equivalent,More than 65,EEE,Pass
21105,M,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
21106,M,N,0-35,low,Lower Than A Level,0-59,EEE,Pass
21107,M,N,0-35,low,A Level or Equivalent,0-59,EEE,Pass
21108,M,N,0-35,high,Lower Than A Level,60-65,EEE,Fail
21109,M,N,0-35,low,Lower Than A Level,0-59,EEE,Fail
21111,M,N,0-35,high,A Level or Equivalent,0-59,EEE,Pass
21112,M,N,0-35,high,Lower Than A Level,More than 65,EEE,Pass
21113,M,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
21114,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
21115,M,N,0-35,low,A Level or Equivalent,More than 65,EEE,Pass
21117,F,N,0-35,low,HE Qualification,More than 65,EEE,Pass
21118,M,N,0-35,high,Lower Than A Level,More than 65,EEE,Pass
21119,M,N,0-35,high,HE Qualification,0-59,EEE,Pass
21120,M,N,35-55,low,HE Qualification,0-59,EEE,Pass
21121,M,N,0-35,low,Lower Than A Level,60-65,EEE,Pass
21122,F,N,0-35,high,Lower Than A Level,60-65,EEE,Pass
21124,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
21126,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
21128,F,N,0-35,high,A Level or Equivalent,60-65,EEE,Pass
21129,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
21130,M,N,35-55,high,A Level or Equivalent,0-59,EEE,Pass
21131,M,N,35-55,low,HE Qualification,More than 65,EEE,Pass
21132,M,N,0-35,high,HE Qualification,0-59,EEE,Pass
21133,M,N,0-35,low,HE Qualification,More than 65,EEE,Pass
21134,M,N,0-35,high,A Level or Equivalent,More than 65,EEE,Fail
21135,M,N,35-55,high,Lower Than A Level,More than 65,EEE,Pass
21137,M,N,0-35,low,Lower Than A Level,More than 65,EEE,Pass
21138,M,N,35-55,high,HE Qualification,60-65,EEE,Fail
21140,M,N,0-35,low,A Level or Equivalent,60-65,EEE,Pass
